SST,SSS,pH,MgCa
17,33,8.08,5.89
22,33,8,8.89
27,33,7.93,13.79
22,33,7.65,10.12
22,33,8.45,6.15
22,27,8.03,5.68
22,39,7.98,10.08
15,33.8,8.07,3.53
18,33.7,8.02,5.02
25,34,8.06,9.6
22,33.7,7.59,9.41
22,33.7,7.77,7.92
22,33.9,8.07,6.82
22,33.8,8.27,6.68
22,33.6,8.41,6.42
22,33.7,8.5,6.49
22.1,33.3,7.59,8.59
22.3,33.3,8,10.2
22.3,33.3,8,8.95
22.1,33.3,8.27,6.77
22.1,33.3,8.63,4.67
22.1,29.9,8.03,7.03
22.1,29.9,8.03,6.35
22.3,31.5,7.99,7.49
22.3,31.5,7.99,8.17
22.3,35.4,7.98,8.82
17.7,33.1,8.09,6.22
19.6,33.1,8.03,5.27
26.5,33,7.94,7.85