age,d18O
0,3.23
1,3.23
2,3.18
3,3.29
4,3.3
5,3.26
6,3.33
7,3.37
8,3.42
9,3.38
10,3.52
11,3.6
12,3.92
13,4.06
14,4.28
15,4.49
16,4.75
17,4.88
18,5.02
19,4.96
20,4.99
21,4.91
22,4.88
23,4.86
24,4.81
25,4.82
26,4.67
27,4.75
28,4.75
29,4.73
30,4.62
31,4.62
32,4.6
33,4.58
34,4.59
35,4.54
36,4.45
37,4.46
38,4.41
39,4.55
40,4.55
41,4.51
42,4.5
43,4.46
44,4.48
45,4.33
46,4.36
47,4.38
48,4.45
49,4.46
50,4.34
51,4.33
52,4.31
53,4.44
54,4.38
55,4.31
56,4.35
57,4.43
58,4.49
59,4.43
60,4.6
61,4.51
62,4.6
63,4.53
64,4.36
65,4.48
66,4.57
67,4.44
68,4.42
69,4.47
70,4.32
71,4.22
72,4.21
73,4.23
74,4.03
75,3.95
76,4.06
77,4.08
78,4.05
79,4.05
80,3.9
81,3.82
82,3.8
83,3.83
84,3.82
85,3.95
86,4.06
87,4.18
88,4.11
89,4.08
90,4.06
91,4.03
92,3.98
93,3.9
94,3.84
95,3.77
96,3.75
97,3.83
98,3.9
99,3.78
100,3.81
101,3.92
102,3.86
103,3.88
104,3.92
105,3.85
106,4
107,4.04
108,4.11
109,4.12
110,4.04
111,4.02
112,4.03
113,3.93
114,3.81
115,3.71
116,3.58
117,3.54
118,3.44
119,3.3
120,3.27
121,3.26
122,3.18
123,3.1
124,3.27
125,3.14
126,3.16
127,3.37
128,3.71
129,3.9
130,3.67
131,3.81
132,4.2
133,4.41
134,4.7
135,4.86
136,4.82
137,4.8
138,4.89
139,4.87
140,4.98
141,4.81
142,4.75
143,4.78
144,4.82
145,4.74
146,4.77
147,4.82
148,4.71
149,4.75
150,4.75
151,4.66
152,4.64
153,4.62
154,4.66
155,4.51
156,4.78
157,4.74
158,4.69
159,4.66
160,4.69
161,4.65
162,4.66
163,4.7
164,4.68
165,4.68
166,4.48
167,4.41
168,4.48
169,4.5
170,4.5
171,4.53
172,4.46
173,4.38
174,4.28
175,4.32
176,4.39
177,4.46
178,4.44
179,4.48
180,4.39
181,4.46
182,4.48
183,4.37
184,4.4
185,4.59
186,4.47
187,4.4
188,4.46
189,4.39
190,4.28
191,4.13
192,3.76
193,3.92
194,3.84
195,3.91
196,3.82
197,3.74
198,3.82
199,3.57
200,3.53
201,3.53
202,3.63
203,3.61
204,3.78
205,3.82
206,3.77
207,3.78
208,3.71
209,3.64
210,3.57
211,3.6
212,3.61
213,3.65
214,3.56
215,3.54
216,3.53
217,3.48
218,3.72
219,3.94
220,3.98
221,4.23
222,4.38
223,4.44
224,4.39
225,4.28
226,4.29
227,4.19
228,4.19
229,4.02
230,4.3
231,4.22
232,4.17
233,3.97
234,3.84
235,3.71
236,3.66
237,3.47
238,3.51
239,3.44
240,3.44
241,3.54
242,3.68
243,3.78
244,4.05
245,4.17
246,4.38
247,4.31
248,4.38
249,4.36
250,4.5
251,4.58
252,4.63
253,4.52
254,4.57
255,4.37
256,4.43
257,4.55
258,4.51
259,4.52
260,4.46
261,4.52
262,4.45
263,4.46
264,4.42
265,4.44
266,4.5
267,4.5
268,4.33
269,4.52
270,4.51
271,4.5
272,4.44
273,4.44
274,4.38
275,4.38
276,4.3
277,4.44
278,4.31
279,4.23
280,4.14
281,4.21
282,3.98
283,3.87
284,3.86
285,3.84
286,3.82
287,3.89
288,4.02
289,4.06
290,4.1
291,4.11
292,4.27
293,4.22
294,4.33
295,4.31
296,4.23
297,4.3
298,4.17
299,4.23
300,4.02
301,4.06
302,4.06
303,4
304,4.07
305,4.07
306,4.05
307,4
308,3.85
309,3.86
310,3.8
311,3.7
312,3.79
313,3.69
314,3.77
315,3.62
316,3.69
317,3.89
318,3.76
319,3.58
320,3.66
321,3.53
322,3.53
323,3.47
324,3.21
325,3.31
326,3.23
327,3.22
328,3.23
329,3.19
330,3.3
331,3.29
332,3.39
333,3.38
334,3.51
335,3.75
336,4.08
337,4.23
338,4.17
339,4.42
340,4.6
341,4.84
342,4.83
343,4.8
344,4.76
345,4.79
346,4.68
347,4.53
348,4.49
349,4.62
350,4.67
351,4.64
352,4.47
353,4.47
354,4.4
355,4.59
356,4.46
357,4.55
358,4.58
359,4.49
360,4.54
361,4.5
362,4.5
363,4.53
364,4.36
365,4.46
366,4.32
367,4.37
368,4.4
369,4.38
370,4.36
371,4.27
372,4.42
373,4.29
374,4.34
375,4.2
376,4.21
377,4.2
378,4.19
379,4.17
380,4.19
381,4.15
382,4.05
383,4.12
384,4.08
385,4.14
386,4.02
387,3.99
388,3.92
389,3.89
390,3.96
391,4
392,3.97
393,3.86
394,3.92
395,3.76
396,3.72
397,3.47
398,3.54
399,3.48
400,3.32
401,3.2
402,3.17
403,3.15
404,3.2
405,3.11
406,3.19
407,3.21
408,3.17
409,3.22
410,3.15
411,3.29
412,3.31
413,3.38
414,3.41
415,3.41
416,3.51
417,3.57
418,3.75
419,3.81
420,3.77
421,3.85
422,3.94
423,4.02
424,3.92
425,4.3
426,4.5
427,4.3
428,4.72
429,4.91
430,4.98
431,5.05
432,5.05
433,5.08
434,5.08
435,5.02
436,5.07
437,4.9
438,4.79
439,4.87
440,4.76
441,4.95
442,4.96
443,4.91
444,4.82
445,4.91
446,4.82
447,4.51
448,4.77
449,4.73
450,4.75
451,4.58
452,4.73
453,4.56
454,4.6
455,4.41
456,4.62
457,4.63
458,4.55
459,4.63
460,4.56
461,4.59
462,4.61
463,4.61
464,4.44
465,4.57
466,4.46
467,4.44
468,4.38
469,4.51
470,4.33
471,4.25
472,4.32
473,4.36
474,4.39
475,4.35
476,4.3
477,4.27
478,4.22
479,4.12
480,4.12
481,4.17
482,4.01
483,3.97
484,3.79
485,3.81
486,3.76
487,3.72
488,3.67
489,3.6
490,3.54
491,3.47
492,3.63
493,3.72
494,3.83
495,3.83
496,3.83
497,3.68
498,3.82
499,3.75
500,3.84
501,3.78
502,3.75
503,3.81
504,3.91
505,3.86
506,4.01
507,3.93
508,4.16
509,4.06
510,4.14
511,4.06
512,4.22
513,4.25
514,4.1
515,4.1
516,4.01
517,3.96
518,4.07
519,3.96
520,3.95
521,3.91
522,3.88
523,3.93
524,3.83
525,3.92
526,3.97
527,3.96
528,3.92
529,3.99
530,3.97
531,3.92
532,4.01
533,4.11
534,4.27
535,4.29
536,4.55
537,4.43
538,4.54
539,4.48
540,4.53
541,4.5
542,4.45
543,4.45
544,4.46
545,4.43
546,4.51
547,4.53
548,4.55
549,4.53
550,4.5
551,4.45
552,4.52
553,4.46
554,4.29
555,4.25
556,4.39
557,4.35
558,4.25
559,4.17
560,4.14
561,4.21
562,4.14
563,4.17
564,4.01
565,3.96
566,3.86
567,3.94
568,4
569,3.97
570,3.91
571,3.89
572,3.59
573,3.65
574,3.73
575,3.39
576,3.46
577,3.48
578,3.5
579,3.57
580,3.69
581,4
582,4.13
583,4.29
584,4.31
585,4.33
586,4.18
587,4.11
588,4.19
589,4.07
590,4.09
591,4.07
592,4.02
593,3.99
594,3.9
595,3.88
596,3.89
597,3.8
598,3.99
599,4.02
600,4.07
602,3.97
604,3.77
606,3.8
608,3.8
610,3.49
612,3.52
614,3.53
616,3.66
618,3.81
620,4.09
622,4.31
624,4.63
626,4.9
628,5.01
630,5.08
632,5.05
634,4.93
636,5
638,4.8
640,5.01
642,4.75
644,4.68
646,4.72
648,4.75
650,4.71
652,4.79
654,4.77
656,4.57
658,4.58
660,4.64
662,4.8
664,4.58
666,4.5
668,4.65
670,4.42
672,4.52
674,4.46
676,4.4
678,4.26
680,4.14
682,4.15
684,4.03
686,4.13
688,3.95
690,3.7
692,3.71
694,3.64
696,3.5
698,3.57
700,3.65
702,3.76
704,3.84
706,3.93
708,4.03
710,3.98
712,4.06
714,4.29
716,4.61
718,4.75
720,4.66
722,4.65
724,4.44
726,4.32
728,4.16
730,4.16
732,4.02
734,4.15
736,4.19
738,4.21
740,4.11
742,4.17
744,4.48
746,4.67
748,4.59
750,4.6
752,4.48
754,4.55
756,4.59
758,4.26
760,4.33
762,4.11
764,4.28
766,4.11
768,4.07
770,3.99
772,3.87
774,3.76
776,3.64
778,3.56
780,3.48
782,3.54
784,3.55
786,3.68
788,3.7
790,4.16
792,4.27
794,4.74
796,4.67
798,4.68
800,4.68
802,4.73
804,4.55
806,4.53
808,4.49
810,4.31
812,4.38
814,4.12
816,4.08
818,3.9
820,3.96
822,3.9
824,3.92
826,4.11
828,3.95
830,4.04
832,4.07
834,3.95
836,3.82
838,3.99
840,4.02
842,3.81
844,3.67
846,3.58
848,3.63
850,3.5
852,3.65
854,3.63
856,3.46
858,3.42
860,3.45
862,3.68
864,3.58
866,4.06
868,4.32
870,4.51
872,4.67
874,4.68
876,4.69
878,4.59
880,4.68
882,4.42
884,4.47
886,4.47
888,4.45
890,4.39
892,4.32
894,4.41
896,4.4
898,4.33
900,4.29
902,4.17
904,4.14
906,4.12
908,3.99
910,3.99
912,4.09
914,4.03
916,4.06
918,4.37
920,4.51
922,4.55
924,4.43
926,4.38
928,4.26
930,4.1
932,4.07
934,3.98
936,4.02
938,3.86
940,3.89
942,3.69
944,3.57
946,3.63
948,3.48
950,3.44
952,3.3
954,3.39
956,3.33
958,3.73
960,4.16
962,4.42
964,4.58
966,4.3
968,4.21
970,4.09
972,3.98
974,3.87
976,3.77
978,3.72
980,3.76
982,3.99
984,4.15
986,4.24
988,4.21
990,4.11
992,4.06
994,3.94
996,3.84
998,3.84
1000,3.94
1002,4.15
1004,4.28
1006,4.22
1008,4.22
1010,4.12
1012,4.13
1014,3.99
1016,3.73
1018,3.78
1020,3.83
1022,3.57
1024,3.64
1026,3.87
1028,3.84
1030,3.95
1032,4.08
1034,4.36
1036,4.33
1038,4.54
1040,4.33
1042,4.23
1044,4.38
1046,4.22
1048,4.29
1050,4.18
1052,4.27
1054,4.25
1056,4.12
1058,4.23
1060,4.08
1062,3.94
1064,3.66
1066,3.48
1068,3.33
1070,3.34
1072,3.21
1074,3.42
1076,3.48
1078,3.54
1080,3.61
1082,3.81
1084,3.7
1086,3.89
1088,3.91
1090,3.95
1092,4.01
1094,4
1096,4.03
1098,4.29
1100,4.08
1102,4.03
1104,3.93
1106,3.83
1108,3.67
1110,3.85
1112,3.84
1114,4.12
1116,4.14
1118,4.2
1120,4.09
1122,4.47
1124,4.34
1126,4.5
1128,4.38
1130,4.32
1132,4.05
1134,4.22
1136,4.24
1138,4.02
1140,4.02
1142,3.97
1144,3.99
1146,3.86
1148,4.02
1150,3.82
1152,3.75
1154,3.76
1156,3.79
1158,3.68
1160,3.6
1162,3.6
1164,3.66
1166,3.53
1168,3.56
1170,3.6
1172,3.73
1174,3.76
1176,3.74
1178,3.8
1180,3.6
1182,3.84
1184,3.65
1186,3.77
1188,3.67
1190,4.05
1192,4.14
1194,4.27
1196,4.28
1198,4.43
1200,4.42
1202,4.2
1204,4.34
1206,4.16
1208,4.32
1210,4.2
1212,4.08
1214,4.1
1216,3.82
1218,3.73
1220,3.97
1222,3.94
1224,3.74
1226,3.63
1228,3.55
1230,3.42
1232,3.41
1234,3.34
1236,3.38
1238,3.35
1240,3.33
1242,3.47
1244,3.85
1246,4.1
1248,4.36
1250,4.31
1252,4.25
1254,4.27
1256,4.11
1258,3.9
1260,3.87
1262,4.07
1264,3.96
1266,3.91
1268,3.91
1270,3.84
1272,3.81
1274,3.84
1276,3.71
1278,3.67
1280,3.56
1282,3.65
1284,3.84
1286,3.97
1288,4.26
1290,4.35
1292,4.14
1294,3.94
1296,4.2
1298,4.15
1300,4.07
1302,4.06
1304,3.97
1306,3.9
1308,3.8
1310,3.65
1312,3.69
1314,3.71
1316,3.59
1318,3.73
1320,3.95
1322,3.94
1324,3.99
1326,4
1328,4.09
1330,4.06
1332,4.02
1334,4.19
1336,4.19
1338,4.1
1340,4.19
1342,4.07
1344,3.88
1346,3.86
1348,3.67
1350,3.59
1352,3.49
1354,3.41
1356,3.5
1358,3.55
1360,3.63
1362,3.8
1364,3.98
1366,3.99
1368,4.2
1370,4.04
1372,4.26
1374,4.21
1376,4.08
1378,4.2
1380,4.05
1382,3.96
1384,3.82
1386,3.72
1388,3.61
1390,3.73
1392,3.59
1394,3.7
1396,3.54
1398,3.49
1400,3.56
1402,3.63
1404,3.74
1406,3.97
1408,3.97
1410,4.2
1412,4.4
1414,4.22
1416,3.96
1418,3.84
1420,3.96
1422,3.83
1424,3.72
1426,3.72
1428,3.61
1430,3.52
1432,3.38
1434,3.38
1436,3.24
1438,3.24
1440,3.28
1442,3.34
1444,3.33
1446,3.36
1448,3.35
1450,3.49
1452,3.8
1454,4.2
1456,4.31
1458,4.24
1460,4.1
1462,4.07
1464,4.22
1466,3.99
1468,3.87
1470,3.62
1472,3.45
1474,3.38
1476,3.31
1478,3.42
1480,3.39
1482,3.44
1484,3.57
1486,3.42
1488,3.42
1490,3.51
1492,3.77
1494,4.05
1496,4.36
1498,4.24
1500,4.21
1502.5,4.29
1505,4.16
1507.5,4.15
1510,4.02
1512.5,3.74
1515,3.69
1517.5,3.79
1520,3.64
1522.5,3.67
1525,3.7
1527.5,3.89
1530,3.96
1532.5,4.2
1535,4.41
1537.5,4.35
1540,4.38
1542.5,4.3
1545,4.07
1547.5,3.97
1550,3.82
1552.5,3.68
1555,3.72
1557.5,3.79
1560,3.76
1562.5,3.58
1565,3.56
1567.5,3.73
1570,3.85
1572.5,4.17
1575,4.24
1577.5,4.18
1580,3.99
1582.5,3.99
1585,3.8
1587.5,3.66
1590,3.72
1592.5,3.86
1595,3.71
1597.5,3.61
1600,3.53
1602.5,3.37
1605,3.55
1607.5,3.66
1610,3.66
1612.5,3.88
1615,3.84
1617.5,3.9
1620,3.65
1622.5,3.68
1625,3.76
1627.5,4.01
1630,3.55
1632.5,3.57
1635,3.56
1637.5,3.6
1640,3.68
1642.5,3.88
1645,4.05
1647.5,4.17
1650,4.18
1652.5,4.25
1655,4.28
1657.5,4.11
1660,4.13
1662.5,4.08
1665,4.13
1667.5,3.91
1670,3.88
1672.5,3.86
1675,3.55
1677.5,3.72
1680,3.65
1682.5,3.57
1685,3.59
1687.5,3.74
1690,3.72
1692.5,3.75
1695,3.82
1697.5,3.77
1700,4.09
1702.5,4.15
1705,4.12
1707.5,4.17
1710,3.93
1712.5,3.86
1715,3.83
1717.5,3.57
1720,3.52
1722.5,3.72
1725,3.79
1727.5,3.8
1730,3.74
1732.5,3.86
1735,3.6
1737.5,3.6
1740,3.71
1742.5,3.69
1745,4.13
1747.5,4.21
1750,4.16
1752.5,3.85
1755,3.74
1757.5,3.83
1760,3.53
1762.5,3.63
1765,3.49
1767.5,3.52
1770,3.48
1772.5,3.38
1775,3.53
1777.5,3.57
1780,3.65
1782.5,3.8
1785,3.77
1787.5,3.85
1790,3.99
1792.5,4.06
1795,4.09
1797.5,3.89
1800,3.95
1802.5,3.8
1805,3.68
1807.5,3.66
1810,3.52
1812.5,3.68
1815,3.61
1817.5,3.98
1820,3.82
1822.5,3.73
1825,3.72
1827.5,3.65
1830,3.42
1832.5,3.63
1835,3.68
1837.5,3.57
1840,3.57
1842.5,3.57
1845,3.61
1847.5,3.8
1850,3.62
1852.5,3.61
1855,3.56
1857.5,3.64
1860,3.89
1862.5,4.19
1865,4.16
1867.5,3.97
1870,3.95
1872.5,3.83
1875,3.84
1877.5,3.73
1880,3.77
1882.5,3.69
1885,3.75
1887.5,3.59
1890,3.68
1892.5,3.61
1895,3.74
1897.5,3.69
1900,4.02
1902.5,3.93
1905,4.01
1907.5,3.83
1910,3.81
1912.5,3.81
1915,3.7
1917.5,3.64
1920,3.7
1922.5,3.65
1925,3.5
1927.5,3.48
1930,3.51
1932.5,3.45
1935,3.52
1937.5,3.58
1940,3.51
1942.5,4.02
1945,4.03
1947.5,4.17
1950,4.1
1952.5,4.02
1955,3.89
1957.5,3.77
1960,3.86
1962.5,3.9
1965,3.74
1967.5,3.61
1970,3.75
1972.5,3.5
1975,3.55
1977.5,3.45
1980,3.33
1982.5,3.38
1985,3.36
1987.5,3.52
1990,3.65
1992.5,3.68
1995,3.58
1997.5,3.69